Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
PRG,PRG HOLDINGS BERHAD,MAIN,7168,Personal Goods,81.81m,0.19,4.81,0.00,9.59
PRIVA,PRIVASIA TECHNOLOGY BERHAD,ACE,0123,Telecommunications Equipment,64.47m,0.11,18.42,0.00,5.70
PRKCORP,PERAK CORPORATION BERHAD,MAIN,8346,Transportation & Logistics Services,30.00m,0.30,1.93,0.00,16.92
PRLEXUS,PROLEXUS BERHAD,MAIN,8966,Personal Goods,91.32m,0.33,4.37,0.00,6.93
PRTASCO,PROTASCO BERHAD,MAIN,5070,Construction,94.12m,0.19,-,0.00,-10.31
PTARAS,PINTARAS JAYA BHD,MAIN,9598,Construction,267.04m,1.61,-,3.11,-0.53
PTRANS,PERAK TRANSIT BERHAD,MAIN,0186,"Travel, Leisure & Hospitality",912.62m,1.23,14.71,2.48,9.65
PTRB,PT RESOURCES HOLDINGS BERHAD,ACE,0260,Food & Beverages,256.81m,0.48,7.63,1.35,20.97
PTT,PTT SYNERGY GROUP BERHAD,MAIN,7010,Property,210.69m,1.17,132.95,0.00,0.89
PUC,PUC BERHAD,ACE,0007,Media,72.86m,0.04,-,0.00,-24.95
PUNCAK,PUNCAK NIAGA HOLDINGS BERHAD,MAIN,6807,Construction,175.22m,0.39,-,0.00,-1.80
PWF,PWF CONSOLIDATED BERHAD,MAIN,7134,Agricultural Products,196.36m,0.88,8.21,5.68,7.10
PWORTH,PRICEWORTH INTERNATIONAL BERHAD,MAIN,7123,Wood & Wood Products,194.36m,0.13,-,0.00,-4.75
PWROOT,POWER ROOT BERHAD,MAIN,7237,Food & Beverages,967.03m,1.99,16.28,5.90,16.51
PWRWELL,POWERWELL HOLDINGS BERHAD,ACE,0217,"Industrial Materials, Components & Equipment",153.85m,0.27,22.46,2.26,9.08
QES,QES GROUP BERHAD,MAIN,0196,"Industrial Materials, Components & Equipment",433.75m,0.52,16.30,0.96,15.95
QL,QL RESOURCES BERHAD,MAIN,7084,Agricultural Products,13.312b,5.47,37.26,1.28,12.88
QUALITY,QUALITY CONCRETE HOLDINGS BERHAD,MAIN,7544,Building Materials,74.77m,1.29,-,0.00,-12.07
RADIUM,RADIUM DEVELOPMENT BERHAD,MAIN,5313,Property,1.387b,0.40,-,2.50,-
RALCO,RALCO CORPORATION BERHAD,MAIN,7498,Chemicals,40.13m,0.79,-,0.00,-
RAMSSOL,RAMSSOL GROUP BERHAD,ACE,0236,Software,145.61m,0.48,23.40,0.00,8.46
RANHILL,RANHILL UTILITIES BERHAD,MAIN,5272,"Gas, Water & Multi-utilities",784.56m,0.61,7.43,4.13,14.03
RAPID,RAPID SYNERGY BERHAD,MAIN,7765,Property,2.696b,25.22,-,0.00,-
RCECAP,RCE CAPITAL BERHAD,MAIN,9296,Other Financials,1.845b,2.49,12.86,4.82,18.09
REACH,REACH ENERGY BERHAD,MAIN,5256,Oil & Gas Producers,85.16m,0.04,-,0.00,-
REDIDEA,RED IDEAS HOLDINGS BERHAD,LEAP,03002,Digital Services,29.40m,0.28,-,0.00,-
REDTONE,REDTONE DIGITAL BERHAD,MAIN,0032,Telecommunications Service Providers,555.54m,0.71,9.13,3.52,23.36
REKATECH,REKATECH CAPITAL BERHAD,ACE,0081,Industrial Services,26.64m,0.05,-,0.00,-27.78
RENEUCO,RENEUCO BERHAD,MAIN,7130,Personal Goods,127.87m,0.21,20.10,0.00,2.55
RESINTC,RESINTECH BERHAD,MAIN,7232,Building Materials,96.89m,0.50,54.40,3.79,1.01
REVENUE,REVENUE GROUP BERHAD,MAIN,0200,Digital Services,121.62m,0.22,-,0.00,-
REX,REX INDUSTRY BERHAD,MAIN,9946,Food & Beverages,72.34m,0.11,-,0.00,-42.19
REXIT,REXIT BERHAD,ACE,0106,Software,155.25m,0.82,14.11,4.88,22.35
RGB,RGB INTERNATIONAL BHD,MAIN,0037,"Travel, Leisure & Hospitality",441.25m,0.29,9.25,2.11,16.21
RGS,RAY GO SOLAR HOLDINGS BERHAD,LEAP,03052,Industrial Services,51.00m,0.20,-,0.00,-
RGTBHD,RGT BERHAD,MAIN,9954,Chemicals,264.37m,0.25,147.06,2.40,1.18
RGTECH,RADIANT GLOBALTECH BERHAD,ACE,0202,Digital Services,165.44m,0.32,23.86,0.00,9.92
RHBBANK,RHB BANK BERHAD,MAIN,1066,Banking,23.575b,5.50,7.75,7.27,10.13
RHONEMA,RHONE MA HOLDINGS BERHAD,MAIN,5278,Agricultural Products,152.65m,0.69,12.75,2.90,7.51
RKI,RHONG KHEN INTERNATIONAL BERHAD,MAIN,7006,Household Goods,250.73m,1.29,11.10,4.65,3.29
RL,RESERVOIR LINK ENERGY BHD,MAIN,0219,"Energy Infrastructure, Equipment & Services",102.97m,0.33,-,0.00,-
ROHAS,ROHAS TECNIC BERHAD,MAIN,9741,Industrial Engineering,122.89m,0.26,10.24,0.00,3.63
RPLANET,REDPLANET BERHAD,LEAP,03036,Digital Services,31.88m,0.20,-,3.80,-
RSAWIT,RIMBUNAN SAWIT BERHAD,MAIN,5113,Plantation,285.84m,0.14,-,0.00,-9.56
RSENA,RED SENA BERHAD,MAIN,5270,Special Purpose Acquisition Company,505.00m,0.51,-,0.00,-
RTSTECH,RTS TECHNOLOGY HOLDINGS BERHAD,LEAP,03039,Software,20.53m,0.17,-,1.52,-
RVIEW,RIVERVIEW RUBBER ESTATES BERHAD,MAIN,2542,Plantation,207.52m,3.20,30.92,12.50,1.81
S&FCAP,S & F CAPITAL BERHAD,MAIN,8745,Wood & Wood Products,66.04m,0.12,26.67,0.00,4.09
