Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
TCHONG,TAN CHONG MOTOR HOLDINGS BERHAD,MAIN,4405,Automotive,705.60m,1.05,-,2.86,-2.08
TCS,TCS GROUP HOLDINGS BERHAD,ACE,0221,Construction,75.08m,0.18,-,0.00,-9.68
TDEX,TECHNODEX BHD,ACE,0132,Software,59.07m,0.07,-,0.00,-47.00
TDM,TDM BERHAD,MAIN,2054,Plantation,301.50m,0.18,-,0.97,-12.06
TECGUAN,TECK GUAN PERDANA BERHAD,MAIN,7439,Agricultural Products,66.16m,1.65,2.98,3.03,19.87
TECHBND,TECHBOND GROUP BERHAD,MAIN,5289,Chemicals,230.70m,0.44,20.91,1.15,6.50
TECHNAX,TECHNA-X BERHAD,MAIN,2739,Other Energy Resources,22.15m,0.01,-,0.00,-100.00
TEKSENG,TEK SENG HOLDINGS BERHAD,MAIN,7200,Household Goods,110.00m,0.31,13.03,3.28,3.66
TELADAN,TELADAN GROUP BERHAD,ACE,0230,Property,890.48m,1.10,31.98,1.18,5.46
TENAGA,TENAGA NASIONAL BHD,MAIN,5347,Electricity,57.989b,10.02,19.15,4.59,5.19
TEOSENG,TEO SENG CAPITAL BERHAD,MAIN,7252,Agricultural Products,375.01m,1.25,6.40,1.60,15.27
TEXCHEM,TEXCHEM RESOURCES BERHAD,MAIN,8702,Diversified Industrials,102.99m,0.82,-,15.95,-2.25
TEXCYCL,TEX CYCLE TECHNOLOGY (M) BERHAD,ACE,0089,Industrial Services,171.65m,0.67,13.04,0.90,9.87
TFP,TFP SOLUTIONS BERHAD,ACE,0145,Digital Services,29.29m,0.05,-,0.00,-0.44
TGL,TEO GUAN LEE CORPORATION BERHAD,MAIN,9369,Personal Goods,101.03m,1.21,8.87,6.61,9.96
TGUAN,THONG GUAN INDUSTRIES BERHAD,MAIN,7034,Packaging Materials,743.31m,1.87,8.49,3.21,10.11
THETA,THETA EDGE BERHAD,MAIN,9075,Digital Services,73.14m,0.62,15.74,2.42,6.16
THPLANT,TH PLANTATIONS BERHAD,MAIN,5112,Plantation,459.60m,0.52,8.48,5.77,7.96
THRIVEN,THRIVEN GLOBAL BERHAD,MAIN,7889,Property,57.43m,0.11,-,0.00,-18.67
TIENWAH,TIEN WAH PRESS HOLDINGS BERHAD,MAIN,7374,Industrial Services,125.20m,0.87,-,6.47,-5.12
TIMECOM,TIME DOTCOM BERHAD,MAIN,5031,Telecommunications Service Providers,10.250b,5.55,3.91,12.73,60.85
TIMWELL,TIMBERWELL BERHAD,MAIN,7854,Wood & Wood Products,56.10m,0.63,14.00,3.17,6.42
TITIJYA,TITIJAYA LAND BERHAD,MAIN,5239,Property,354.69m,0.27,80.30,0.00,0.37
TJSETIA,TUJU SETIA BERHAD,MAIN,5297,Construction,72.87m,0.23,-,0.00,-45.04
TM,TELEKOM MALAYSIA BERHAD,MAIN,4863,Telecommunications Service Providers,18.914b,4.93,14.28,3.35,15.42
TMCLIFE,TMC LIFE SCIENCES BERHAD,MAIN,0101,Health Care Providers,1.063b,0.61,27.11,0.67,4.59
TNLOGIS,TIONG NAM LOGISTICS HOLDINGS BERHAD,MAIN,8397,Transportation & Logistics Services,380.03m,0.72,12.81,0.00,3.25
TOCEAN,TRANSOCEAN HOLDINGS BHD,MAIN,7218,Transportation & Logistics Services,113.92m,1.75,129.63,0.00,1.44
TOMEI,TOMEI CONSOLIDATED BERHAD,MAIN,7230,Retailers,152.46m,1.10,2.86,3.64,13.67
TOMYPAK,TOMYPAK HOLDINGS BERHAD,MAIN,7285,Packaging Materials,168.14m,0.39,1.98,2.56,50.51
TONGHER,TONG HERR RESOURCES BERHAD,MAIN,5010,Metals,396.72m,2.52,10.10,7.94,6.95
TOPGLOV,TOP GLOVE CORPORATION BHD,MAIN,7113,Health Care Equipment & Services,6.197b,0.76,-,1.59,-19.14
TOPVISN,TOPVISION EYE SPECIALIST BERHAD,LEAP,03013,Health Care Providers,187.86m,0.74,-,1.09,-
TOYOVEN,TOYO VENTURES HOLDINGS BERHAD,MAIN,7173,Chemicals,165.96m,1.41,261.11,1.06,0.45
TPC,TPC PLUS BERHAD,MAIN,7176,Agricultural Products,92.47m,0.30,5.59,0.00,19.89
TRC,TRC SYNERGY BERHAD,MAIN,5054,Construction,180.19m,0.38,7.24,3.20,4.80
TRIMODE,TRI-MODE SYSTEM (M) BERHAD,ACE,0199,Transportation & Logistics Services,51.46m,0.31,10.88,3.39,5.18
TRIVE,TRIVE PROPERTY GROUP BERHAD,MAIN,0118,Technology Equipment,88.45m,0.07,-,0.00,-13.80
TROP,TROPICANA CORPORATION BERHAD,MAIN,5401,Property,2.895b,1.26,-,0.00,-7.49
TSH,TSH RESOURCES BERHAD,MAIN,9059,Plantation,1.354b,0.98,3.94,10.71,16.44
TSRCAP,TSR CAPITAL BERHAD,MAIN,5042,Construction,51.46m,0.30,36.88,0.00,1.01
TTVHB,TT VISION HOLDINGS BERHAD,ACE,0272,Semiconductors,552.24m,1.18,52.21,0.00,10.76
TUNEPRO,TUNE PROTECT GROUP BERHAD,MAIN,5230,Insurance,338.47m,0.45,-,0.00,-0.03
TURBO,TURBO-MECH BERHAD,MAIN,5167,"Industrial Materials, Components & Equipment",75.60m,0.70,33.02,0.71,1.84
TURIYA,TURIYA BERHAD,MAIN,4359,Semiconductors,38.88m,0.17,10.12,0.00,2.95
TWL,TWL HOLDINGS BERHAD,MAIN,7079,Property,140.43m,0.03,-,0.00,-0.64
TWRREIT,TOWER REAL ESTATE INVESTMENT TRUST,MAIN,5111,Real Estate Investment Trusts,110.80m,0.40,-,1.47,-3.51
UCHITEC,UCHI TECHNOLOGIES BERHAD,MAIN,7100,"Industrial Materials, Components & Equipment",1.569b,3.42,11.94,8.77,63.64
UCREST,UCREST BERHAD,ACE,0005,Technology Equipment,129.83m,0.18,1750.00,0.00,0.20
UEMS,UEM SUNRISE BERHAD,MAIN,5148,Property,3.996b,0.79,49.38,0.63,1.19
ULICORP,UNITED U-LI CORPORATION BERHAD,MAIN,7133,"Industrial Materials, Components & Equipment",326.70m,1.50,8.10,3.67,11.09
UMC,UMEDIC GROUP BERHAD,ACE,0256,Health Care Equipment & Services,274.82m,0.74,26.63,0.00,16.33
UMCCA,UNITED MALACCA BERHAD,MAIN,2593,Plantation,1.064b,5.07,27.45,2.37,2.73
UMS,UMS HOLDINGS BERHAD,MAIN,7137,"Industrial Materials, Components & Equipment",78.94m,1.94,20.86,4.12,2.26
UMSNGB,UMS-NEIKEN GROUP BERHAD,MAIN,7227,"Industrial Materials, Components & Equipment",73.60m,0.92,14.74,3.26,4.05
UMW,UMW HOLDINGS BERHAD,MAIN,4588,Automotive,5.514b,4.72,8.55,3.01,13.76
UNIMECH,UNIMECH GROUP BERHAD,MAIN,7091,"Industrial Materials, Components & Equipment",274.40m,1.82,8.39,3.41,9.38
UNIQUE,UNIQUE FIRE HOLDINGS BERHAD,ACE,0257,Industrial Services,92.00m,0.23,31.94,2.17,3.60
UNISEM,UNISEM (M) BERHAD,MAIN,5005,Semiconductors,5.243b,3.25,32.24,1.54,6.78
UNITRAD,UNITRADE INDUSTRIES BERHAD,ACE,0247,Building Materials,437.50m,0.28,51.85,1.07,2.57
UNIWALL,UNI WALL APS HOLDINGS BERHAD,LEAP,03017,Construction,577.81m,0.79,-,0.00,-
UOADEV,UOA DEVELOPMENT BHD,MAIN,5200,Property,4.186b,1.68,16.15,11.90,4.46
UOAREIT,UOA REAL ESTATE INVESTMENT TRUST,MAIN,5110,Real Estate Investment Trusts,736.40m,1.09,12.62,7.91,6.03
UPA,UPA CORPORATION BHD,MAIN,7757,Consumer Services,186.22m,0.78,13.47,3.42,1.59
UTAMA,UCI RESOURCES BERHAD,LEAP,03043,Building Materials,90.02m,0.27,-,0.56,-
UTDPLT,UNITED PLANTATIONS BERHAD,MAIN,2089,Plantation,6.860b,16.48,-,8.50,-
UWC,UWC BERHAD,MAIN,5292,Semiconductors,4.131b,3.75,75.15,0.78,13.13
UZMA,UZMA BERHAD,MAIN,7250,"Energy Infrastructure, Equipment & Services",290.42m,0.75,7.45,0.00,6.58
VELESTO,VELESTO ENERGY BERHAD,MAIN,5243,"Energy Infrastructure, Equipment & Services",2.013b,0.25,98.00,0.00,0.86
VERSATL,VERSATILE CREATIVE BERHAD,MAIN,4995,Packaging Materials,170.86m,0.61,-,0.00,-0.93
VINVEST,VINVEST CAPITAL HOLDINGS BERHAD,ACE,0069,Software,67.84m,0.07,-,0.00,-
VIS,VISDYNAMICS HOLDINGS BERHAD,ACE,0120,Semiconductors,103.81m,0.40,16.53,5.06,9.56
VITROX,VITROX CORPORATION BERHAD,MAIN,0097,Semiconductors,6.825b,7.22,40.13,0.75,18.68
VIZIONE,VIZIONE HOLDINGS BERHAD,MAIN,7070,Construction,102.38m,0.05,-,0.00,-
VLB,VESTLAND BERHAD,ACE,0273,Construction,335.23m,0.36,10.99,0.00,21.53
VOLCANO,VOLCANO BERHAD,ACE,0232,Industrial Services,159.83m,0.88,-,1.48,-
VS,V.S. INDUSTRY BERHAD,MAIN,6963,"Industrial Materials, Components & Equipment",3.735b,0.97,20.32,2.07,8.48
VSOLAR,VSOLAR GROUP BERHAD,ACE,0066,Software,24.17m,0.15,-,0.00,-16.33
VSTECS,VSTECS BERHAD,MAIN,5162,Technology Equipment,478.80m,1.33,7.34,4.66,15.11
WAJA,WAJA KONSORTIUM BERHAD,ACE,0102,"Industrial Materials, Components & Equipment",100.36m,0.09,-,0.00,-
WANGZNG,WANG-ZHENG BERHAD,MAIN,7203,Household Goods,110.40m,0.69,21.10,2.17,2.57
WARISAN,WARISAN TC HOLDINGS BERHAD,MAIN,5016,"Travel, Leisure & Hospitality",69.22m,1.03,-,0.00,-2.67
WASCO,WASCO BERHAD,MAIN,5142,"Energy Infrastructure, Equipment & Services",724.52m,0.94,42.31,0.00,2.76
WATTA,WATTA HOLDING BERHAD,MAIN,7226,Auto Parts,48.58m,0.58,-,0.00,-2.65
WCEHB,WCE HOLDINGS BERHAD,MAIN,3565,Construction,2.405b,0.81,28.35,0.00,7.85
WCT,WCT HOLDINGS BERHAD,MAIN,9679,Construction,815.44m,0.58,18.79,0.87,1.37
WEGMANS,WEGMANS HOLDINGS BERHAD,MAIN,0197,Household Goods,101.76m,0.19,7.71,2.70,10.43
WELLCAL,WELLCALL HOLDINGS BERHAD,MAIN,7231,"Industrial Materials, Components & Equipment",756.88m,1.52,16.38,4.61,34.37
WELLS,WELLSPIRE HOLDINGS BERHAD,ACE,0271,Food & Beverages,484.25m,0.68,242.86,0.00,3.89
WIDAD,WIDAD GROUP BERHAD,ACE,0162,Construction,1.657b,0.54,-,0.00,-4.36
WILLOW,WILLOWGLEN MSC BERHAD,MAIN,0008,Software,173.60m,0.35,12.03,4.29,7.10
WMG,WMG HOLDINGS BERHAD,MAIN,6378,Property,40.01m,0.09,-,0.00,-0.63
WONG,WONG ENGINEERING CORPORATION BERHAD,MAIN,7050,"Industrial Materials, Components & Equipment",85.73m,0.34,-,1.03,-1.19
WOODLAN,WOODLANDOR HOLDINGS BHD,MAIN,7025,Wood & Wood Products,29.60m,0.74,-,0.00,-9.08
WPRTS,WESTPORTS HOLDINGS BERHAD,MAIN,5246,Transportation & Logistics Services,10.980b,3.22,14.38,4.46,22.47
WTHORSE,WHITE HORSE BERHAD,MAIN,5009,Building Materials,141.60m,0.59,-,0.00,-5.95
WTK,WTK HOLDINGS BERHAD,MAIN,4243,Wood & Wood Products,221.42m,0.46,-,3.26,-3.25
XDL,XIDELANG HOLDINGS LTD,MAIN,5156,Personal Goods,42.32m,0.02,-,0.00,-1.67
XINHWA,XIN HWA HOLDINGS BERHAD,MAIN,5267,Transportation & Logistics Services,57.52m,0.23,-,0.00,-9.65
XL,XL HOLDINGS BERHAD,MAIN,7121,Consumer Services,211.70m,0.86,-,0.00,-
XOX,XOX BHD,ACE,0165,Telecommunications Service Providers,101.02m,0.02,-,0.00,-83.33
XOXNET,XOX NETWORKS BERHAD,ACE,0140,Consumer Services,39.75m,0.04,-,0.00,-21.40
XOXTECH,XOX TECHNOLOGY BERHAD,ACE,0017,Telecommunications Equipment,53.77m,0.06,33.33,0.00,6.43
Y&G,Y&G CORPORATION BHD,MAIN,7003,Property,139.83m,0.64,21.99,0.00,2.01
YB,YB VENTURES BERHAD,MAIN,5048,Building Materials,74.30m,0.26,-,0.00,-6.36
YBS,YBS INTERNATIONAL BERHAD,ACE,0025,"Industrial Materials, Components & Equipment",151.17m,0.59,140.48,0.00,1.45
YENHER,YENHER HOLDINGS BERHAD,MAIN,5300,Agricultural Products,271.50m,0.91,12.55,3.31,9.78
YEWLEE,YEW LEE PACIFIC GROUP BERHAD,ACE,0248,"Industrial Materials, Components & Equipment",192.17m,0.36,-,0.83,-0.72
YGL,YGL CONVERGENCE BERHAD,ACE,0086,Software,34.49m,0.14,-,0.00,-2.80
YINSON,YINSON HOLDINGS BERHAD,MAIN,7293,"Energy Infrastructure, Equipment & Services",7.262b,2.37,9.54,0.84,14.44
YLI,YLI HOLDINGS BERHAD,MAIN,7014,Metals,37.06m,0.36,8.87,0.00,3.56
YNHPROP,YNH PROPERTY BERHAD,MAIN,3158,Property,2.698b,5.10,-,0.00,-
YOCB,YOONG ONN CORPORATION BERHAD,MAIN,5159,Household Goods,246.40m,1.54,6.47,3.90,12.39
YONGTAI,YONG TAI BERHAD,MAIN,7066,Property,153.14m,0.41,-,0.00,-8.43
YSPSAH,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,MAIN,7178,Pharmaceuticals,343.04m,2.42,8.56,4.13,10.55
YTL,YTL CORPORATION BERHAD,MAIN,4677,"Gas, Water & Multi-utilities",15.542b,1.41,15.11,2.84,7.18
YTLPOWR,YTL POWER INTERNATIONAL BHD,MAIN,6742,"Gas, Water & Multi-utilities",15.501b,1.90,7.67,3.16,11.97
YTLREIT,YTL HOSPITALITY REIT,MAIN,5109,Real Estate Investment Trusts,1.704b,1.00,12.06,7.44,4.86
YXPM,YX PRECIOUS METALS BHD,ACE,0250,Personal Goods,96.76m,0.26,9.19,3.08,10.48
ZECON,ZECON BERHAD,MAIN,7028,Construction,58.22m,0.40,-,0.00,-0.55
ZELAN,ZELAN BERHAD,MAIN,2283,Construction,29.57m,0.04,11.67,0.00,2.73
ZENTECH,ZEN TECH INTERNATIONAL BERHAD,ACE,0094,Software,52.57m,0.02,-,0.00,-2.00
ZHULIAN,ZHULIAN CORPORATION BERHAD,MAIN,5131,Consumer Services,860.20m,1.87,41.37,9.09,4.36
1TECH,ONETECH SOLUTIONS HOLDINGS BERHAD,LEAP,03041,Software,15.39m,0.20,-,5.00,-
3A,THREE-A RESOURCES BERHAD,MAIN,0012,Food & Beverages,398.52m,0.81,14.39,3.09,6.31
